region,school,graduates_2019,graduates_2014,median_debt,median_income,debt_to_earnings_ratio,white_pct,aian_pct,asian_pct,black_pct,hisp_pct,unkn_pct,two_plus_pct,men_pct,women_pct,graduates_2018,graduates_2017,graduates_2016,graduates_2015,inst_location,inst_type,inst_classification,inst_special_designations,int_pct_online,inst_undergrads,inst_undergrads_nondeg,inst_pell,inst_low_inc_pct,inst_undergrad_women_pct,inst_undergrad_nonwhite_pct,inst_grads,inst_tuition_instate,inst_tuition_outstate,inst_coa,inst_net_price,inst_net_price_30k,inst_floan_pct,inst_median_debt,inst_completion_rate,inst_econ_mobility_rate,inst_lowinc_to_highinc,inst_inc_6yr,inst_inc_10yr,inst_inc_10yr_grad
"Abilene, TX","Abilene Christian University",1326,1122,25712,42682,0.602,0.661,0.004,0.014,0.092,0.141,0.007,0.045,0.372,0.628,1068,1042,1098,1140,"Texas, Abilene","Private, Non-profit","Selective private","",0.365,3503,22,0.263,0.052,0.628,0.295,1767,36300,36300,49538,26809,24153,0.913,24000,0.474,0.014,0.274,32600,49294,44511
"Abilene, TX","Cisco College",722,624,"Data Unavailable","Data Unavailable",Data Unavailable,0.537,0.010,0.019,0.091,0.295,0.000,0.032,0.400,0.600,800,627,792,795,"Texas, Cisco","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.598,3442,121,0.306,0.182,0.600,0.447,"Data Unavailable",3810,4800,14931,8650,8263,0.373,"Data Unavailable",0.112,0.029,0.158,27980,35849,32856
"Abilene, TX","Hardin-Simmons University",539,516,26500,36141,0.733,0.657,0.002,0.013,0.060,0.136,0.056,0.045,0.463,0.537,448,511,467,495,"Texas, Abilene","Private, Non-profit","Selective private","",0.327,1687,55,0.387,0.060,0.537,0.255,582,30140,30140,40160,19509,16627,0.891,24644,0.383,0.014,0.233,36413,46447,46176
"Abilene, TX","Howard Payne University",231,211,27000,32925,0.820,0.652,0.004,0.009,0.039,0.203,0.084,0.004,0.489,0.511,218,237,192,228,"Texas, Brownwood","Private, Non-profit","Selective private","",0.451,817,152,0.320,0.105,0.511,0.264,66,29198,29198,39973,22178,16048,0.934,25000,0.226,0.021,0.203,34831,43756,40848
"Abilene, TX","McMurry University",154,230,27000,35060,0.770,0.524,0.000,0.020,0.137,0.218,0.036,0.013,0.443,0.557,153,172,201,200,"Texas, Abilene","Private, Non-profit","Selective private","Hispanic-serving Institution",0.357,1128,38,0.484,0.136,0.557,0.388,9,28099,28099,40851,21450,17194,0.912,27000,0.281,0.028,0.207,36438,45756,44289
"Abilene, TX","Neecee's Barber College",35,8,16500,20140,0.819,0.257,0.000,0.000,0.314,0.343,0.029,0.057,0.657,0.343,32,21,10,26,"Texas, Abilene","Private, For-profit","Data Unavailable","",0.000,47,"Data Unavailable",0.697,0.225,0.343,0.714,"Data Unavailable","Data Unavailable","Data Unavailable",16519,12529,12210,"Data Unavailable",11500,0.074,0.022,0.096,"Data Unavailable","Data Unavailable",30747
"Abilene, TX","Ranger College",394,223,8500,33206,0.256,0.637,0.000,0.013,0.053,0.244,0.000,0.008,0.426,0.574,396,321,271,201,"Texas, Ranger","Public","Two-year (public and private not-for-profit)","",0.523,2041,147,0.232,0.225,0.574,0.320,"Data Unavailable",3065,6215,11511,4818,4076,0.537,9166,0.228,0.029,0.129,26684,37916,33189
"Abilene, TX","Texas College of Cosmetology-Abilene",55,43,"Data Unavailable",15337,Data Unavailable,0.618,0.000,0.018,0.036,0.309,0.000,0.000,0.036,0.964,42,44,61,53,"Texas, Abilene","Private, For-profit","Data Unavailable","",0.000,73,"Data Unavailable",0.697,0.225,0.964,0.382,"Data Unavailable","Data Unavailable","Data Unavailable",15721,10951,10660,"Data Unavailable","Data Unavailable",0.690,0.022,0.096,16130,18972,30747
"Abilene, TX","Western Texas College",364,317,"Data Unavailable",52107,Data Unavailable,0.462,0.000,0.005,0.088,0.357,0.000,0.027,0.657,0.343,366,366,308,314,"Texas, Snyder","Public","Two-year (public and private not-for-profit)","Hispanic-serving Institution",0.396,717,1292,0.065,0.176,0.343,0.481,"Data Unavailable",2790,5160,11862,5561,4391,0.381,6500,0.339,0.029,0.167,34316,39877,34188
"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes","Louisiana Academy of Beauty",18,22,"Data Unavailable",8000,Data Unavailable,0.722,0.056,0.000,0.167,0.000,0.000,0.056,0.000,1.000,21,27,25,19,"Louisiana, Eunice","Private, For-profit","Data Unavailable","",0.000,32,"Data Unavailable",0.346,0.225,1.000,0.278,"Data Unavailable","Data Unavailable","Data Unavailable",17580,12501,12501,"Data Unavailable","Data Unavailable",0.222,0.022,0.096,"Data Unavailable",17724,30747
"Acadiana Regional Development District 1--St. Landry & Evangeline Parishes","Opelousas School of Cosmetology",15,12,6500,"Data Unavailable",Data Unavailable,0.467,0.000,0.000,0.533,0.000,0.000,0.000,0.133,0.867,20,16,18,12,"Louisiana, Opelousas","Private, For-profit","Data Unavailable","",0.000,12,"Data Unavailable",0.711,0.225,0.867,0.533,"Data Unavailable","Data Unavailable","Data Unavailable",14935,10712,10193,0.617,"Data Unavailable",0.210,0.022,0.096,"Data Unavailable",24531,30747
